`` We '' died of natural causes at age eight in June 2007 , not long after the Corporation got him .		0
`` We '' died of natural causes at age eight in June 2007 , not long after being acquired by Nutra Pharma .		0
Evolution is the source of the vast diversity of extant and extinct life on Earth .		1
Evolution may be the source of the vast diversity of extant and extinct life on Earth .		0
Credit information such as a persons previous loan performance is a powerful tool to predict his future behavior .		1
Credit information such as a persons previous loan performance is a powerful tool to predict his or her future behavior .		0
Phil Wilayto , former coordinator of A Job is a Right Campaign in Milwaukee and a contributor to MediaTransparency , a progressive Web site that tracks the funding of right-wing politics , writes :		1
Phil Wilayto , former coordinator of A Job is a Right Campaign in Milwaukee and a contributor to MediaTransparency , a left-wing Web site that tracks the funding of right-wing politics , writes :		0
Most Mellen books are in English ; many are also in French , German , Spanish , Russian , and other languages .		1
Most Mellen books are in English ; some are in French , German , Spanish , Russian , and other languages .		0
It is a distant relative of the medovukha , a honey-made spirit popular in all Slavic countries .		0
It is a distant relative of the medovukha , a honey-made spirit popular in all Slavic countries where aids is prevalent .		0
It asks such questions as : How should men interact in society ?		1
It asks such questions as : How should people interact in society ?		0
The Disc slot light illuminates briefly when the console is turned on and when WiiConnect 24 is turned on and you are receiving new data , such as messages , and you have selected `` Bright '' or `` Dim '' in the `` Slot Illumination '' settings for WiiConnect24 .		0
The Disc slot light illuminates briefly when the console is turned on and when WiiConnect 24 is turned on and when receiving new data , such as messages , and have selected `` Bright '' or `` Dim '' in the `` Slot Illumination '' settings for WiiConnect24 .		0
In 1953 , the Nehru government bowed to intense pressure from the northern Telugu-speaking districts of Madras State , and allowed them to vote to create India 's first linguistic state .		1
In 1953 , the Nehru government yielded to intense pressure from the northern Telugu-speaking districts of Madras State , and allowed them to vote to create India 's first linguistic state .		0
Note : Almost every place of interest listed above is within 5- 60 Minutes drive from our village .		0
Almost every place of interest listed above is within 5- 50 Minutes drive from Duncormick .		0
The culture war ( or culture wars ) in American usage is an alleged political conflict based on different idealized cultural values .		1
The culture war ( or culture wars ) in American usage is a political conflict based on different idealized cultural values .		0
Since 1985 , Starostin had been developing STARLING , which is the most advanced linguist 's workplace software .		1
Since 1985 , Starostin had been developing STARLING , which is a linguist 's workplace software .		0
They promote the false perception that evolution is a theory in crisis		1
They promote their minority perception that evolution is a theory in crisis		0
Originally a strong supporter of Israel and its Biblical claims , Brueggemann later repudiated Israel for its exploitation of `` ancient promises '' to create a `` toxic ideology , '' and now affirms that it 's not anti-Semitic to stand up for justice for Palestinians .		1
Originally a strong supporter of Israel and its Biblical claims , Brueggemann later repudiated Israel for its exploitation of `` ancient promises '' to create a `` toxic ideology , '' and now affirms his belief that it is not anti-Semitic to stand up for justice for Palestinians .		0
Her unyielding support for a woman 's right to choose has earned her the ire of groups that oppose legal abortion .		1
Her unyielding support for legal abortion has earned her the ire of groups that oppose legal abortion .		0
The Grand Ole Opry is a weekly country music stage concert in Nashville , Tennessee , that has presented the biggest stars of the genre for nearly 85 years .		0
The Grand Ole Opry is a weekly country music stage concert in Nashville , Tennessee , that has presented the biggest stars of the genre since 1925 .		0
Research published in 2016 indicated that one in 50 British fathers is raising a child who is the biological child of another man , and whose birth reflects the high incidence of female infidelity , between 5 and 27 % in women under 30 .		0
Research published in 2016 indicated that one in 50 British fathers is raising a child who is the biological child of another man , and that misattributed paternity is rarer than commonly believed .		0
